,Latitude,Longitude,TimeStamp
0,37.3627,-163.2824,1720171618
1,37.4437,-163.1631,1720171620
2,37.4639,-163.1332,1720171620
3,37.4841,-163.1034,1720171621
4,38.3849,-161.7407,1720171643
5,38.5234,-161.5255,1720171647
6,38.5629,-161.4638,1720171648
7,38.8579,-160.9990,1720171655
8,38.8775,-160.9679,1720171656
9,39.0144,-160.7495,1720171659
10,39.0729,-160.6556,1720171661
11,39.0924,-160.6243,1720171661
12,39.4028,-160.1204,1720171669
13,39.9020,-159.2915,1720171682
14,39.9210,-159.2594,1720171683
15,39.9401,-159.2272,1720171683
16,39.9591,-159.1951,1720171684
17,40.7682,-157.7932,1720171705
18,40.8054,-157.7272,1720171706
19,40.8610,-157.6279,1720171708
20,41.1379,-157.1289,1720171715
21,41.1930,-157.0285,1720171717
22,41.2663,-156.8945,1720171719
23,41.3941,-156.6591,1720171722
24,41.5214,-156.4227,1720171726
25,41.5758,-156.3211,1720171727
26,42.5893,-154.3559,1720171756
27,43.1243,-153.2589,1720171771
28,43.3789,-152.7207,1720171779
29,43.4967,-152.4679,1720171782
30,43.5303,-152.3955,1720171783
31,44.0437,-151.2624,1720171799
32,44.0601,-151.2255,1720171800
33,44.0764,-151.1885,1720171800
34,44.5922,-149.9956,1720171816
35,44.6398,-149.8826,1720171818
36,44.6873,-149.7695,1720171819
37,44.7031,-149.7317,1720171820
38,44.8134,-149.4667,1720171823
39,45.4907,-147.7765,1720171845
40,45.5959,-147.5037,1720171849
41,45.6109,-147.4646,1720171849
42,46.0673,-146.2429,1720171865
43,46.1683,-145.9641,1720171868
44,46.2829,-145.6442,1720171872
45,46.2971,-145.6041,1720171873
46,46.3114,-145.5640,1720171873
47,46.7448,-144.3098,1720171889
48,46.8406,-144.0236,1720171892
49,47.0566,-143.3654,1720171900
50,47.0699,-143.3241,1720171901
51,47.1099,-143.2000,1720171902
52,47.1232,-143.1586,1720171903
53,47.5396,-141.8225,1720171919
54,47.5523,-141.7804,1720171919
55,47.9386,-140.4643,1720171935
56,47.9508,-140.4215,1720171935
57,48.5260,-138.2989,1720171960
58,48.5486,-138.2112,1720171961
59,48.5598,-138.1674,1720171961
60,49.0365,-136.2168,1720171983
61,49.0677,-136.0824,1720171985
62,49.1500,-135.7232,1720171989
63,49.3010,-135.0463,1720171996
64,49.3109,-135.0011,1720171997
65,49.3208,-134.9557,1720171997
66,49.3405,-134.8651,1720171998
67,49.3504,-134.8197,1720171999
68,49.3602,-134.7743,1720171999
69,49.4283,-134.4562,1720172003
70,49.4573,-134.3196,1720172004
71,49.5335,-133.9544,1720172008
72,49.5429,-133.9087,1720172009
73,49.6085,-133.5880,1720172012
74,49.8870,-132.1575,1720172028
75,49.9557,-131.7856,1720172032
76,49.9642,-131.7390,1720172032
77,49.9896,-131.5992,1720172034
78,49.9980,-131.5526,1720172034
79,50.0064,-131.5059,1720172035
80,50.0231,-131.4126,1720172036
81,50.0315,-131.3659,1720172036
82,50.4723,-128.6768,1720172065
83,50.4795,-128.6291,1720172065
84,50.4936,-128.5339,1720172066
85,50.5007,-128.4862,1720172067
86,50.5077,-128.4386,1720172067
87,50.5287,-128.2954,1720172069
88,50.8145,-126.1811,1720172091
89,50.8324,-126.0360,1720172093
90,50.8384,-125.9876,1720172093
91,50.8443,-125.9392,1720172094
92,50.8502,-125.8908,1720172094
93,50.8561,-125.8424,1720172095
94,50.9023,-125.4545,1720172099
95,51.0682,-123.9438,1720172114
96,51.1408,-123.2090,1720172122
97,51.1454,-123.1600,1720172122
98,51.1819,-122.7670,1720172126
99,51.1864,-122.7179,1720172127
